Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
70,"G Yang, X Huang, Z Hao, MY Liu…","Pointflow: 3d point cloud generation with continuous normalizing flows",2019,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ICCV_2019/html/Yang_PointFlow_3D_Point_Cloud_Generation_With_Continuous_Normalizing_Flows_ICCV_2019_paper.html","https://scholar.google.com/scholar?cites=4196501666507589173&as_sdt=2005&sciodt=0,5&hl=en",37,"2020-10-24 07:39:54","","","","",,,,,70,70.00,14,5,1,"As 3D point clouds become the representation of choice for multiple vision and graphics applications, the ability to synthesize or reconstruct high-resolution, high-fidelity point clouds becomes crucial. Despite the recent success of deep learning models in discriminative tasks …"
68,"S Ravanbakhsh, J Schneider, B Poczos","Equivariance through parameter-sharing",2017,"arXiv preprint arXiv:1702.08389","arxiv.org","https://arxiv.org/abs/1702.08389","https://scholar.google.com/scholar?cites=17269492350417712345&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-10-24 07:39:54","","","","",,,,,68,22.67,23,3,3,"We propose to study equivariance in deep neural networks through parameter symmetries. In particular, given a group $\mathcal {G} $ that acts discretely on the input and output of a standard neural network layer $\phi_ {W}:\Re^{M}\to\Re^{N} $, we show that $\phi_ {W} $ is …"
68,"L Wang, Y Huang, Y Hou, S Zhang…","Graph attention convolution for point cloud semantic segmentation",2019,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Graph_Attention_Convolution_for_Point_Cloud_Semantic_Segmentation_CVPR_2019_paper.html","https://scholar.google.com/scholar?cites=947093430412229056&as_sdt=2005&sciodt=0,5&hl=en",45,"2020-10-24 07:39:54","","","","",,,,,68,68.00,14,5,1,"Standard convolution is inherently limited for semantic segmentation of point cloud due to its isotropy about features. It neglects the structure of an object, results in poor object delineation and small spurious regions in the segmentation result. This paper proposes a …"
65,"M Vartak, A Thiagarajan, C Miranda…","A meta-learning perspective on cold-start recommendations for items",2017,"Advances in neural …","papers.nips.cc","http://papers.nips.cc/paper/7266-a-meta-learning-perspective","https://scholar.google.com/scholar?cites=2559890688802765463&as_sdt=2005&sciodt=0,5&hl=en",29,"2020-10-24 07:39:54","","","","",,,,,65,21.67,16,4,3,"Matrix factorization (MF) is one of the most popular techniques for product recommendation, but is known to suffer from serious cold-start problems. Item cold-start problems are particularly acute in settings such as Tweet recommendation where new items arrive …"
63,"Y Wang, JM Solomon","Deep closest point: Learning representations for point cloud registration",2019,"Proceedings of the IEEE …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ICCV_2019/html/Wang_Deep_Closest_Point_Learning_Representations_for_Point_Cloud_Registration_ICCV_2019_paper.html","https://scholar.google.com/scholar?cites=13319126561466992426&as_sdt=2005&sciodt=0,5&hl=en",49,"2020-10-24 07:39:54","","","","",,,,,63,63.00,32,2,1,"Point cloud registration is a key problem for computer vision applied to robotics, medical imaging, and other applications. This problem involves finding a rigid transformation from one point cloud into another so that they align. Iterative Closest Point (ICP) and its variants …"
62,"W Hamilton, P Bajaj, M Zitnik, D Jurafsky…","Embedding logical queries on knowledge graphs",2018,"Advances in neural …","papers.nips.cc","http://papers.nips.cc/paper/7473-embedding-logical-queries-on-knowledge-graphs","https://scholar.google.com/scholar?cites=9948805019620970484&as_sdt=2005&sciodt=0,5&hl=en",31,"2020-10-24 07:39:54","","","","",,,,,62,31.00,12,5,2,"Learning low-dimensional embeddings of knowledge graphs is a powerful approach used to predict unobserved or missing edges between entities. However, an open challenge in this area is developing techniques that can go beyond simple edge prediction and handle more …"
62,"J Gordon, J Bronskill, M Bauer, S Nowozin…","Meta-learning probabilistic inference for prediction",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1805.09921","https://scholar.google.com/scholar?cites=18291407046711557858&as_sdt=2005&sciodt=0,5&hl=en",35,"2020-10-24 07:39:54","","","","",,,,,62,31.00,12,5,2,"This paper introduces a new framework for data efficient and versatile learning. Specifically: 1) We develop ML-PIP, a general framework for Meta-Learning approximate Probabilistic Inference for Prediction. ML-PIP extends existing probabilistic interpretations of meta …"
62,"K Ganju, Q Wang, W Yang, CA Gunter…","Property inference attacks on fully connected neural networks using permutation invariant representations",2018,"Proceedings of the 2018 …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3243734.3243834","https://scholar.google.com/scholar?cites=6358784317888423983&as_sdt=2005&sciodt=0,5&hl=en",41,"2020-10-24 07:39:54","","","","",,,,,62,31.00,12,5,2,"With the growing adoption of machine learning, sharing of learned models is becoming popular. However, in addition to the prediction properties the model producer aims to share, there is also a risk that the model consumer can infer other properties of the training data the …"
61,"CL Li, M Zaheer, Y Zhang, B Poczos…","Point cloud gan",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1810.05795","https://scholar.google.com/scholar?cites=11465399646323395805&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-10-24 07:39:54","","","","",,,,,61,30.50,12,5,2,"Generative Adversarial Networks (GAN) can achieve promising performance on learning complex data distributions on different types of data. In this paper, we first show a straightforward extension of existing GAN algorithm is not applicable to point clouds …"
61,"Z Liu, C Chen, L Li, J Zhou, X Li, L Song, Y Qi","Geniepath: Graph neural networks with adaptive receptive paths",2019,"Proceedings of the AAAI …","aaai.org","https://www.aaai.org/ojs/index.php/AAAI/article/view/4354","https://scholar.google.com/scholar?cites=9235552378741524317&as_sdt=2005&sciodt=0,5&hl=en",39,"2020-10-24 07:39:54","","","","",,,,,61,61.00,9,7,1,"We present, GeniePath, a scalable approach for learning adaptive receptive fields of neural networks defined on permutation invariant graph data. In GeniePath, we propose an adaptive path layer consists of two complementary functions designed for breadth and depth …"
60,"F Baradel, N Neverova, C Wolf…","Object level visual reasoning in videos",2018,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ECCV_2018/html/Fabien_Baradel_Object_Level_Visual_ECCV_2018_paper.html","https://scholar.google.com/scholar?cites=17632579279713545301&as_sdt=2005&sciodt=0,5&hl=en",27,"2020-10-24 07:39:54","","","","",,,,,60,30.00,15,4,2,"Human activity recognition is typically addressed by training models to detect key concepts like global and local motion, features related to object classes present in the scene, as well as features related to the global context. The next open challenges in activity recognition …"
60,"J You, R Ying, J Leskovec","Position-aware graph neural networks",2019,"arXiv preprint arXiv:1906.04817","arxiv.org","https://arxiv.org/abs/1906.04817","https://scholar.google.com/scholar?cites=2886623965746954945&as_sdt=2005&sciodt=0,5&hl=en",54,"2020-10-24 07:39:54","","","","",,,,,60,60.00,20,3,1,"Learning node embeddings that capture a node's position within the broader graph structure is crucial for many prediction tasks on graphs. However, existing Graph Neural Network (GNN) architectures have limited power in capturing the position/location of a given node …"
60,"H Maron, H Ben-Hamu, H Serviansky…","Provably powerful graph networks",2019,"Advances in Neural …","papers.nips.cc","http://papers.nips.cc/paper/8488-provably-powerful-graph-networks","https://scholar.google.com/scholar?cites=2574797445677824131&as_sdt=2005&sciodt=0,5&hl=en",56,"2020-10-24 07:39:54","","","","",,,,,60,60.00,15,4,1,"Abstract Recently, the Weisfeiler-Lehman (WL) graph isomorphism test was used to measure the expressive power of graph neural networks (GNN). It was shown that the popular message passing GNN cannot distinguish between graphs that are …"
53,"R Ranftl, V Koltun","Deep fundamental matrix estimation",2018,"Proceedings of the European …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ECCV_2018/html/Rene_Ranftl_Deep_Fundamental_Matrix_ECCV_2018_paper.html","https://scholar.google.com/scholar?cites=6136760680423041643&as_sdt=2005&sciodt=0,5&hl=en",30,"2020-10-24 07:39:54","","","","",,,,,53,26.50,27,2,2,"We present an approach to robust estimation of fundamental matrices from noisy data contaminated by outliers. The problem is cast as a series of weighted homogeneous least-squares problems, where robust weights are estimated using deep networks. The presented …"
52,"Y Qu, B Fang, W Zhang, R Tang, M Niu, H Guo…","Product-based neural networks for user response prediction over multi-field categorical data",2018,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3233770","https://scholar.google.com/scholar?cites=17515399512284999500&as_sdt=2005&sciodt=0,5&hl=en",46,"2020-10-24 07:39:54","","","","",,,,,52,26.00,7,7,2,"User response prediction is a crucial component for personalized information retrieval and filtering scenarios, such as recommender system and web search. The data in user response prediction is mostly in a multi-field categorical format and transformed into sparse …"
50,"R Herzig, M Raboh, G Chechik, J Berant…","Mapping images to scene graphs with permutation-invariant structured prediction",2018,"Advances in Neural …","papers.nips.cc","http://papers.nips.cc/paper/7951-mapping-images-to-scene-graphs-with-permutation-invariant-structured-prediction","https://scholar.google.com/scholar?cites=10299834729999374704&as_sdt=2005&sciodt=0,5&hl=en",38,"2020-10-24 07:39:54","","","","",,,,,50,25.00,10,5,2,"Abstract Machine understanding of complex images is a key goal of artificial intelligence. One challenge underlying this task is that visual scenes contain multiple inter-related objects, and that global context plays an important role in interpreting the scene. A natural …"
49,"A Das, T Gervet, J Romoff, D Batra…","Tarmac: Targeted multi-agent communication",2019,"International …","proceedings.mlr.press","http://proceedings.mlr.press/v97/das19a.html","https://scholar.google.com/scholar?cites=2662604629045889228&as_sdt=2005&sciodt=0,5&hl=en",26,"2020-10-24 07:39:54","","","","",,,,,49,49.00,10,5,1,"We propose a targeted communication architecture for multi-agent reinforcement learning, where agents learn both what messages to send and whom to address them to while performing cooperative tasks in partially-observable environments. This targeting behavior …"
49,"L Flagel, Y Brandvain…","The unreasonable effectiveness of convolutional neural networks in population genetic inference",2019,"Molecular biology and …","academic.oup.com","https://academic.oup.com/mbe/article-abstract/36/2/220/5229930","https://scholar.google.com/scholar?cites=145357337642471950&as_sdt=2005&sciodt=0,5&hl=en",48,"2020-10-24 07:39:54","","","","",,,,,49,49.00,16,3,1,"Population-scale genomic data sets have given researchers incredible amounts of information from which to infer evolutionary histories. Concomitant with this flood of data, theoretical and methodological advances have sought to extract information from genomic …"
49,"H Chao, Y He, J Zhang, J Feng","Gaitset: Regarding gait as a set for cross-view gait recognition",2019,"Proceedings of the AAAI Conference on …","aaai.org","https://www.aaai.org/ojs/index.php/AAAI/article/view/4821","https://scholar.google.com/scholar?cites=3749895220609581824&as_sdt=2005&sciodt=0,5&hl=en",50,"2020-10-24 07:39:54","","","","",,,,,49,49.00,12,4,1,"As a unique biometric feature that can be recognized at a distance, gait has broad applications in crime prevention, forensic identification and social security. To portray a gait, existing gait recognition methods utilize either a gait template, where temporal information is …"
49,"N Keriven, G Peyré","Universal invariant and equivariant graph neural networks",2019,"Advances in Neural Information Processing …","papers.nips.cc","http://papers.nips.cc/paper/8931-universal-invariant-and-equivariant-graph-neural-networks","https://scholar.google.com/scholar?cites=9485621363684643376&as_sdt=2005&sciodt=0,5&hl=en",59,"2020-10-24 07:39:54","","","","",,,,,49,49.00,25,2,1,"Abstract Graph Neural Networks (GNN) come in many flavors, but should always be either invariant (permutation of the nodes of the input graph does not affect the output) or\emph {equivariant}(permutation of the input permutes the output). In this paper, we consider a …"
48,"RL Murphy, B Srinivasan, V Rao, B Ribeiro","Janossy pooling: Learning deep permutation-invariant functions for variable-size inputs",2018,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1811.01900","https://scholar.google.com/scholar?cites=8977286222434486292&as_sdt=2005&sciodt=0,5&hl=en",42,"2020-10-24 07:39:54","","","","",,,,,48,24.00,12,4,2,"We consider a simple and overarching representation for permutation-invariant functions of sequences (or multiset functions). Our approach, which we call Janossy pooling, expresses a permutation-invariant function as the average of a permutation-sensitive function applied …"
46,"M Aittala, F Durand","Burst image deblurring using permutation invariant convolutional neural networks",2018,"Proceedings of the European …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_ECCV_2018/html/Miika_Aittala_Burst_Image_Deblurring_ECCV_2018_paper.html","https://scholar.google.com/scholar?cites=11135569165757938545&as_sdt=2005&sciodt=0,5&hl=en",40,"2020-10-24 07:39:54","","","","",,,,,46,23.00,23,2,2,"We propose a neural approach for fusing an arbitrary-length burst of photographs suffering from severe camera shake and noise into a sharp and noise-free image. Our novel convolutional architecture has a simultaneous view of all frames in the burst, and by …"
